../samples/800wi.png,7....3..2..4...1.9..52.9....2..15.7...........9.47..8....7.48..3.2...5..9..3....1
../samples/article.jpg,8..........36......7..9.2...5...7.......457.....1...3...1....68..85...1..9....4..
../samples/squiggly.png,319.5.2784..68...5.......927.2..51.............17..6.364.......2...68..9875.1.436
../samples/sudoku_9x9_250.png,.3.5...29215.4.......1...7...3.....2.4..9.8....7.....6...9...8.972.8.....5.4...61
../samples/sudoku-loesung.png,....1.75.7486..3.13...94...1.4..65.759..7..3.....48...43.1....29.2...64.8.7.5.91.
../samples/Sudoku-Solving.png,.....4.9.8.297....9.12..3......49157.13.5.92.57912......7..26.3....382.5.2.5.....
../samples/sudoku.png,..53.....8......2..7..1.5..4....53...1..7...6..32...8..6.5....9..4....3......97..
../samples/sudoku1.png,..3.92...4...3..1.27........1.3....8.5.167.3.3....8.6........53.3..8...9...62.1..
../samples/sudoku2.jpg,58.3...6..9..68.7.2.....8.3.3..1...77.58461.98...9..2.3.1.....6.5.63..4..4...5.12
../samples/Sudoku3334.jpg,4.......9...5.8...79.3.2.81.5.6.9.4...4.3.1...2.1.4.5.68.4.3.75...9.6...9.......3
../samples/unnamed.png,3.5...9...2.6...........73.7...4..9...87.63...3..8...4..1.......4...2.1...3...4.5
